bank,deposit_type,term,term_months,interest_rate
ABBank,Quầy,Không kỳ hạn,0,0.1
ABBank,Quầy,1 tháng,1,3.6
ABBank,Quầy,3 tháng,3,3.8
ABBank,Quầy,6 tháng,6,6.05
ABBank,Quầy,9 tháng,9,6.05
ABBank,Quầy,12 tháng,12,6.05
ABBank,Quầy,13 tháng,13,6.05
ABBank,Quầy,18 tháng,18,5.6
ABBank,Quầy,24 tháng,24,5.6
ABBank,Quầy,36 tháng,36,5.6
Agribank,Quầy,Không kỳ hạn,0,0.2
Agribank,Quầy,1 tháng,1,2.6
Agribank,Quầy,3 tháng,3,2.9
Agribank,Quầy,6 tháng,6,4.0
Agribank,Quầy,9 tháng,9,4.0
Agribank,Quầy,12 tháng,12,5.9
Agribank,Quầy,13 tháng,13,5.9
Agribank,Quầy,18 tháng,18,5.9
Agribank,Quầy,24 tháng,24,6.0
Agribank,Quầy,36 tháng,36,
BIDV,Quầy,Không kỳ hạn,0,0.1
BIDV,Quầy,1 tháng,1,2.1
BIDV,Quầy,3 tháng,3,2.4
BIDV,Quầy,6 tháng,6,3.5
BIDV,Quầy,9 tháng,9,3.5
BIDV,Quầy,12 tháng,12,5.9
BIDV,Quầy,13 tháng,13,5.9
BIDV,Quầy,18 tháng,18,5.9
BIDV,Quầy,24 tháng,24,6.0
BIDV,Quầy,36 tháng,36,6.0
Bảo Việt,Online,Không kỳ hạn,0,
Bảo Việt,Online,1 tháng,1,4.75
Bảo Việt,Online,3 tháng,3,4.75
Bảo Việt,Online,6 tháng,6,6.4
Bảo Việt,Online,9 tháng,9,6.4
Bảo Việt,Online,12 tháng,12,6.5
Bảo Việt,Online,13 tháng,13,6.5
Bảo Việt,Online,18 tháng,18,6.5
Bảo Việt,Online,24 tháng,24,6.5
Bảo Việt,Online,36 tháng,36,6.5
Bảo Việt,Quầy,Không kỳ hạn,0,0.3
Bảo Việt,Quầy,1 tháng,1,3.9
Bảo Việt,Quầy,3 tháng,3,4.2
