bank,term,deposit_type,rate_text
ABBank,Không kỳ hạn,Quầy,"0,10"
ABBank,1 tháng,Quầy,"3,60"
ABBank,3 tháng,Quầy,"3,80"
ABBank,6 tháng,Quầy,"6,05"
ABBank,9 tháng,Quầy,"6,05"
ABBank,12 tháng,Quầy,"6,05"
ABBank,13 tháng,Quầy,"6,05"
ABBank,18 tháng,Quầy,"5,60"
ABBank,24 tháng,Quầy,"5,60"
ABBank,36 tháng,Quầy,"5,60"
Agribank,Không kỳ hạn,Quầy,"0,20"
Agribank,1 tháng,Quầy,"2,60"
Agribank,3 tháng,Quầy,"2,90"
Agribank,6 tháng,Quầy,"4,00"
Agribank,9 tháng,Quầy,"4,00"
Agribank,12 tháng,Quầy,"5,90"
Agribank,13 tháng,Quầy,"5,90"
Agribank,18 tháng,Quầy,"5,90"
Agribank,24 tháng,Quầy,"6,00"
Agribank,36 tháng,Quầy,-
Bắc Á,Không kỳ hạn,Quầy,"0,50"
Bắc Á,1 tháng,Quầy,"4,75"
Bắc Á,3 tháng,Quầy,"4,75"
Bắc Á,6 tháng,Quầy,"7,05"
Bắc Á,9 tháng,Quầy,"7,05"
Bắc Á,12 tháng,Quầy,"7,10"
Bắc Á,13 tháng,Quầy,"6,95"
Bắc Á,18 tháng,Quầy,"6,95"
Bắc Á,24 tháng,Quầy,"6,95"
Bắc Á,36 tháng,Quầy,"6,95"
Bảo Việt,Không kỳ hạn,Quầy,"0,30"
Bảo Việt,1 tháng,Quầy,"3,90"
Bảo Việt,3 tháng,Quầy,"4,20"
Bảo Việt,6 tháng,Quầy,"5,50"
Bảo Việt,9 tháng,Quầy,"5,40"
Bảo Việt,12 tháng,Quầy,"5,80"
Bảo Việt,13 tháng,Quầy,"5,80"
Bảo Việt,18 tháng,Quầy,"5,75"
Bảo Việt,24 tháng,Quầy,"5,75"
Bảo Việt,36 tháng,Quầy,"5,75"
BIDV,Không kỳ hạn,Quầy,"0,10"
BIDV,1 tháng,Quầy,"2,10"
BIDV,3 tháng,Quầy,"2,40"
BIDV,6 tháng,Quầy,"3,50"
BIDV,9 tháng,Quầy,"3,50"
BIDV,12 tháng,Quầy,"5,90"
BIDV,13 tháng,Quầy,"5,90"
BIDV,18 tháng,Quầy,"5,90"
BIDV,24 tháng,Quầy,"6,00"
BIDV,36 tháng,Quầy,"6,00"
GPBank,Không kỳ hạn,Quầy,"0,50"
GPBank,1 tháng,Quầy,"3,45"
GPBank,3 tháng,Quầy,"3,55"
GPBank,6 tháng,Quầy,"4,90"
GPBank,9 tháng,Quầy,"5,00"
GPBank,12 tháng,Quầy,"5,20"
GPBank,13 tháng,Quầy,"5,20"
GPBank,18 tháng,Quầy,"5,20"
GPBank,24 tháng,Quầy,"5,20"
GPBank,36 tháng,Quầy,"5,20"
Hong Leong,Không kỳ hạn,Quầy,-
Hong Leong,1 tháng,Quầy,"4,50"
Hong Leong,3 tháng,Quầy,"4,75"
Hong Leong,6 tháng,Quầy,"6,30"
Hong Leong,9 tháng,Quầy,"6,30"
Hong Leong,12 tháng,Quầy,"6,50"
Hong Leong,13 tháng,Quầy,"6,00"
Hong Leong,18 tháng,Quầy,"6,00"
Hong Leong,24 tháng,Quầy,"6,00"
Hong Leong,36 tháng,Quầy,"6,00"
Indovina,Không kỳ hạn,Quầy,-
Indovina,1 tháng,Quầy,"4,45"
Indovina,3 tháng,Quầy,"4,55"
Indovina,6 tháng,Quầy,"6,15"
Indovina,9 tháng,Quầy,"6,15"
Indovina,12 tháng,Quầy,"6,55"
Indovina,13 tháng,Quầy,"6,70"
Indovina,18 tháng,Quầy,"6,70"
Indovina,24 tháng,Quầy,"6,70"
Indovina,36 tháng,Quầy,-
Kiên Long,Không kỳ hạn,Quầy,"0,50"
Kiên Long,1 tháng,Quầy,"3,50"
Kiên Long,3 tháng,Quầy,"3,50"
Kiên Long,6 tháng,Quầy,"5,30"
Kiên Long,9 tháng,Quầy,"4,90"
Kiên Long,12 tháng,Quầy,"5,50"
Kiên Long,13 tháng,Quầy,"5,15"
Kiên Long,18 tháng,Quầy,"5,05"
Kiên Long,24 tháng,Quầy,"5,05"
Kiên Long,36 tháng,Quầy,"5,10"
MSB,Không kỳ hạn,Quầy,-
MSB,1 tháng,Quầy,"4,50"
MSB,3 tháng,Quầy,"4,50"
MSB,6 tháng,Quầy,"6,10"
MSB,9 tháng,Quầy,"6,10"
MSB,12 tháng,Quầy,"6,50"
MSB,13 tháng,Quầy,"6,30"
MSB,18 tháng,Quầy,"6,30"
MSB,24 tháng,Quầy,"6,30"
MSB,36 tháng,Quầy,"5,80"
MB,Không kỳ hạn,Quầy,"0,10"
MB,1 tháng,Quầy,"3,20"
MB,3 tháng,Quầy,"3,60"
MB,6 tháng,Quầy,"4,20"
MB,9 tháng,Quầy,"4,20"
MB,12 tháng,Quầy,"4,85"
MB,13 tháng,Quầy,"4,85"
MB,18 tháng,Quầy,"4,85"
MB,24 tháng,Quầy,"5,70"
MB,36 tháng,Quầy,"5,70"
Nam Á Bank,Không kỳ hạn,Quầy,"0,50"
Nam Á Bank,1 tháng,Quầy,-
Nam Á Bank,3 tháng,Quầy,-
Nam Á Bank,6 tháng,Quầy,-
Nam Á Bank,9 tháng,Quầy,-
Nam Á Bank,12 tháng,Quầy,-
Nam Á Bank,13 tháng,Quầy,"6,30"
Nam Á Bank,18 tháng,Quầy,"6,30"
Nam Á Bank,24 tháng,Quầy,-
Nam Á Bank,36 tháng,Quầy,-
OCB,Không kỳ hạn,Quầy,"0,00"
OCB,1 tháng,Quầy,"4,75"
OCB,3 tháng,Quầy,"4,75"
OCB,6 tháng,Quầy,"6,40"
OCB,9 tháng,Quầy,"6,40"
OCB,12 tháng,Quầy,"6,70"
OCB,13 tháng,Quầy,"6,40"
OCB,18 tháng,Quầy,"6,60"
OCB,24 tháng,Quầy,"6,80"
OCB,36 tháng,Quầy,"7,00"
oceanbank,Không kỳ hạn,Quầy,"0,50"
oceanbank,1 tháng,Quầy,"4,00"
oceanbank,3 tháng,Quầy,"4,30"
oceanbank,6 tháng,Quầy,"5,30"
oceanbank,9 tháng,Quầy,"5,40"
oceanbank,12 tháng,Quầy,"5,70"
oceanbank,13 tháng,Quầy,"5,70"
oceanbank,18 tháng,Quầy,"6,10"
oceanbank,24 tháng,Quầy,"6,10"
oceanbank,36 tháng,Quầy,"6,10"
PGBank,Không kỳ hạn,Quầy,-
PGBank,1 tháng,Quầy,"4,75"
PGBank,3 tháng,Quầy,"4,75"
PGBank,6 tháng,Quầy,"6,60"
PGBank,9 tháng,Quầy,"6,60"
PGBank,12 tháng,Quầy,"6,70"
PGBank,13 tháng,Quầy,"6,70"
PGBank,18 tháng,Quầy,"6,80"
PGBank,24 tháng,Quầy,"6,80"
PGBank,36 tháng,Quầy,"6,80"
PublicBank,Không kỳ hạn,Quầy,"0,10"
PublicBank,1 tháng,Quầy,"4,75"
PublicBank,3 tháng,Quầy,"4,75"
PublicBank,6 tháng,Quầy,"6,00"
PublicBank,9 tháng,Quầy,"6,20"
PublicBank,12 tháng,Quầy,"6,50"
PublicBank,13 tháng,Quầy,"6,70"
PublicBank,18 tháng,Quầy,"7,00"
PublicBank,24 tháng,Quầy,"6,50"
PublicBank,36 tháng,Quầy,"6,00"
PVcomBank,Không kỳ hạn,Quầy,-
PVcomBank,1 tháng,Quầy,"3,00"
PVcomBank,3 tháng,Quầy,"3,30"
PVcomBank,6 tháng,Quầy,"4,20"
PVcomBank,9 tháng,Quầy,"4,40"
PVcomBank,12 tháng,Quầy,"9,00"
PVcomBank,13 tháng,Quầy,"9,00"
PVcomBank,18 tháng,Quầy,"5,30"
PVcomBank,24 tháng,Quầy,"5,30"
PVcomBank,36 tháng,Quầy,"5,30"
Saigonbank,Không kỳ hạn,Quầy,"0,10"
Saigonbank,1 tháng,Quầy,"4,75"
Saigonbank,3 tháng,Quầy,"4,75"
Saigonbank,6 tháng,Quầy,"6,40"
Saigonbank,9 tháng,Quầy,"6,20"
